"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5193289";"";"None";"368.85";"1";"6.05";"7";"O=[N+]([O-])c1cccc(CN2c3ccccc3Sc3ccc(Cl)cc32)c1";"EC200";"'='";"1.1";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL5166189";"Activation of human 20S proteosome at chymotrypsin like site assessed as substrate degradation using Suc-LLVY-AMC as flurogenic substrate preincubated for 15 mins followed by substrate addition and measured after 1 hr by spectrometric analysis";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5154893";"1";"Scientific Literature";"J Med Chem";"2022";"None";"TIME = 0.25 hr";"ACTIVATOR";"";"1.1"
"CHEMBL4777320";"";"None";"487.65";"1";"6.84";"18";"COc1ccc2c(c1)N=C(c1ccccc1)N(C1CCN(Cc3ccccc3)CC1)C2c1ccccc1";"Activity";"'>'";"200.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4736917";"Activation of human 20S proteosome assessed as increase in 7-amino-4-methylcoumarin release at 3 uM using mixture of chymotrypsin-like Suc-LLVY-AMC, trypsin-like Boc-LRR-AMC and caspase-like Z-LLE-AM fluorogenic peptides as substrates preincubated for 15 mins followed by substrate mixture addition and measured for 1 hr by fluorescence assay relative to control";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL4732168";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"Dose = 3.0 microM | TIME = 1.25 hr";"ACTIVATOR";"";"200.0"
"CHEMBL4573271";"";"None";"371.57";"1";"7.14";"19";"CCCCCCCC/C=C\CCCCC/C=C/C(=O)Nc1ccc(O)cc1";"Activity";"'='";"500.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4373371";"Stimulation of human 20S proteasome at EC50 using 11 amino acid FRET peptide as substrate measured every 2 mins over 1 hr by FRET assay relative to control";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL4371088";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2019";"None";"";"";"";"500.0"
"CHEMBL4474796";"";"None";"212.33";"0";"4.16";"S16";"CCCCCCCCCC/C=C/C(=O)O";"Activity";"'='";"91.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4373369";"Stimulation of human 20S proteasome at 25 uM using 11 amino acid FRET peptide as substrate measured every 2 mins over 1 hr by FRET assay relative to control";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL4371088";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2019";"None";"";"";"";"91.0"
"CHEMBL227806";"";"None";"263.38";"0";"4.47";"6";"CCCCCCCCCC(=O)Nc1ccc(O)cc1";"Activity";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4373369";"Stimulation of human 20S proteasome at 25 uM using 11 amino acid FRET peptide as substrate measured every 2 mins over 1 hr by FRET assay relative to control";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL4371088";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2019";"None";"";"";"";"0.0"
"CHEMBL5193289";"";"None";"368.85";"1";"6.05";"7";"O=[N+]([O-])c1cccc(CN2c3ccccc3Sc3ccc(Cl)cc32)c1";"EC200";"'='";"1.2";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL5166185";"Activation of human 20S proteosome at caspase-like site assessed as substrate degradation using Z-LLE-AMC as flurogenic substrate preincubated for 15 mins followed by substrate addition and measured after 1 hr by spectrometric analysis";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5154893";"1";"Scientific Literature";"J Med Chem";"2022";"None";"TIME = 0.25 hr";"ACTIVATOR";"";"1.2"
"CHEMBL5574533";"";"None";"676.66";"None";"None";"42i";"CSCC[C@H](NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)C(=O)N[C@@H](CC(C)C)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1";"IC50";"'='";"82.3";"nM";"7.08";"";"";"UO_0000065";"10.47";"None";"None";"None";"0";"CHEMBL5528522";"Inhibition of 20S proteasome (unknown origin) using Suv-LLVY-AMC as substrate";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5528008";"1";"Scientific Literature";"Eur J Med Chem";"2024";"None";"";"INHIBITOR";"";"82.3"
"CHEMBL4574810";"";"None";"1272.48";"None";"None";"2";"C[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)O";"Activity";"'='";"36.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4371827";"Effect on alpha-face conformations of latent human erythrocytes 20S proteasome assessed as intermediate state conformation at 1 uM by atomic force microscopic method (Rvb = 22%)";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL4371016";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";"";"36.0"
"CHEMBL4522493";"";"None";"1707.03";"None";"None";"7";"CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)O";"Activity";"'='";"57.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4371831";"Effect on alpha-face conformations of latent human erythrocytes 20S proteasome assessed as closed state conformation at 10 uM by atomic force microscopic method (Rvb = 70%)";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL4371016";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";"";"57.0"
"CHEMBL362804";"";"None";"609.72";"1";"3.89";"TP-109";"COc1ccc(C[C@H](NC(=O)Cc2cccc3ccccc23)C(=O)N[C@H](C(=O)NC(C=O)Cc2ccc(O)cc2)C(C)C)cc1";"IC50";"'='";"6000.0";"nM";"5.22";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL834792";"Inhibitory concentration to inhibit trypsin-like activity of 20S proteasome from human leukemia HL-60 cells was determined";"F";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1143504";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3307654";"";"";"";"6.0"
